year,team,conference,division,rating,ranking
2019,LSU,SEC,West,34.190488393092,1
2019,Ohio State,Big Ten,East,32.7805589509572,2
2019,Alabama,SEC,West,28.8471354077853,3
2019,Clemson,ACC,Atlantic,28.6333665588542,4
2019,Auburn,SEC,West,22.0979621711972,5
2019,Georgia,SEC,East,21.7080707239678,6
2019,Oregon,Pac-12,North,20.9534920860063,7
2019,Oklahoma,Big 12,,20.0669936165283,8
2019,Penn State,Big Ten,East,19.9825139334961,9
2019,Wisconsin,Big Ten,West,19.8835063272648,10
2019,Florida,SEC,East,19.8157293741929,11
2019,Utah,Pac-12,South,18.8141079482363,12
2019,Notre Dame,FBS Independents,,18.8069051499439,13
2019,Michigan,Big Ten,East,18.0934383490598,14
2019,Texas,Big 12,,15.9715403557231,15
2019,Iowa,Big Ten,West,15.7369192549828,16
2019,Washington,Pac-12,North,15.6389857367824,17
2019,Minnesota,Big Ten,West,15.201015944865,18
2019,Baylor,Big 12,,14.6776936441665,19
2019,Memphis,American Athletic,West,14.4105350268685,20
2019,Iowa State,Big 12,,13.6365484787066,21
2019,UCF,American Athletic,East,13.2815235657011,22
2019,Navy,American Athletic,West,12.902487989567,23
2019,Texas A&M,SEC,West,12.0703178880482,24
2019,Appalachian State,Sun Belt,,11.49428224091,25
2019,Oklahoma State,Big 12,,10.7794080025893,26
2019,Kansas State,Big 12,,10.3885375186749,27
2019,Air Force,Mountain West,Mountain,10.1848820707413,28
2019,TCU,Big 12,,9.61554519755423,29
2019,USC,Pac-12,South,9.48801154954635,30
2019,Cincinnati,American Athletic,East,8.91577054764879,31
2019,Boise State,Mountain West,Mountain,8.8630038098182,32
2019,Florida Atlantic,Conference USA,East,8.14725637914066,33
2019,Louisiana,Sun Belt,,7.73557326547729,34
2019,North Carolina,ACC,Coastal,7.70020704989305,35
2019,SMU,American Athletic,West,7.66547556586291,36
2019,Indiana,Big Ten,East,6.75594075564415,37
2019,Washington State,Pac-12,North,6.6872375695115,38
2019,Ole Miss,SEC,West,6.5414407255494,39
2019,Virginia,ACC,Coastal,6.32897286307757,40
2019,Arizona State,Pac-12,South,5.7264481097762,41
2019,Kentucky,SEC,East,5.56595823986507,42
2019,Michigan State,Big Ten,East,5.13204888707473,43
2019,Mississippi State,SEC,West,4.95551011615039,44
2019,Tulane,American Athletic,West,4.66752134173868,45
2019,Virginia Tech,ACC,Coastal,4.52435830436928,46
2019,Missouri,SEC,East,4.42704584952078,47
2019,California,Pac-12,North,4.22459267942796,48
2019,Tennessee,SEC,East,3.47974874173137,49
2019,Nebraska,Big Ten,West,3.22652001650201,50
2019,Oregon State,Pac-12,North,2.96911413042638,51
2019,Wyoming,Mountain West,Mountain,2.53874839032514,52
2019,Texas Tech,Big 12,,2.34908425964726,53
2019,South Carolina,SEC,East,2.05706476931039,54
2019,San Diego State,Mountain West,West,1.70127521494756,55
2019,Miami,ACC,Coastal,1.05635215855028,56
2019,Wake Forest,ACC,Atlantic,0.56055813753928,57
2019,Florida State,ACC,Atlantic,0.175508818163483,58
2019,Louisville,ACC,Atlantic,0.0896302208728734,59
2019,Western Kentucky,Conference USA,East,-0.035878249679504,60
2019,Houston,American Athletic,West,-0.133536026187489,61
2019,Tulsa,American Athletic,West,-0.13469807580217,62
2019,Illinois,Big Ten,West,-0.433716799395963,63
2019,Purdue,Big Ten,West,-0.506503286200189,64
2019,Pittsburgh,ACC,Coastal,-0.512775642268727,65
2019,Buffalo,Mid-American,East,-0.968277285649364,66
2019,Georgia Southern,Sun Belt,,-0.992513817782303,67
2019,BYU,FBS Independents,,-0.994033827030879,68
2019,UCLA,Pac-12,South,-1.49285755198923,69
2019,West Virginia,Big 12,,-1.65326365586264,70
2019,Stanford,Pac-12,North,-1.93369479467345,71
2019,Colorado,Pac-12,South,-2.16653795890312,72
2019,Duke,ACC,Coastal,-2.24152948672034,73
2019,Hawai'i,Mountain West,West,-2.32985511463356,74
2019,Louisiana Tech,Conference USA,West,-2.6345215535332,75
2019,Temple,American Athletic,East,-2.70400330768599,76
2019,Boston College,ACC,Atlantic,-2.930569849568,77
2019,Northwestern,Big Ten,West,-3.18719525619147,78
2019,Western Michigan,Mid-American,West,-4.47798514699649,79
2019,Fresno State,Mountain West,West,-4.562567452113,80
2019,Ohio,Mid-American,East,-4.65826860635346,81
2019,Marshall,Conference USA,East,-4.73135639816282,82
2019,Southern Mississippi,Conference USA,West,-4.92522683530198,83
2019,Ball State,Mid-American,West,-4.92882063627341,84
2019,Kansas,Big 12,,-5.10451732673936,85
2019,Utah State,Mountain West,Mountain,-5.31912166138565,86
2019,Arizona,Pac-12,South,-5.40760923634348,87
2019,Arkansas State,Sun Belt,,-5.56946301077343,88
2019,Maryland,Big Ten,East,-5.61821208260241,89
2019,Army,FBS Independents,,-5.82356546170199,90
2019,Central Michigan,Mid-American,West,-6.31056022647799,91
2019,Syracuse,ACC,Atlantic,-6.54734148156173,92
2019,Liberty,FBS Independents,,-6.70496801359241,93
2019,Miami (OH),Mid-American,East,-6.96885315720611,94
2019,Kent State,Mid-American,East,-7.15973160384283,95
2019,San José State,Mountain West,West,-7.5458893056516,96
2019,Arkansas,SEC,West,-7.61544434318696,97
2019,Middle Tennessee,Conference USA,East,-7.62081411489303,98
2019,UAB,Conference USA,West,-7.93476463878105,99
2019,South Florida,American Athletic,East,-8.30344346112474,100
2019,Louisiana Monroe,Sun Belt,,-8.99626427272955,101
2019,Eastern Michigan,Mid-American,West,-9.34914397174972,102
2019,Troy,Sun Belt,,-9.62639900880947,103
2019,Colorado State,Mountain West,Mountain,-9.88397901093365,104
2019,Charlotte,Conference USA,East,-10.3141019386457,105
2019,Georgia State,Sun Belt,,-10.332522257494,106
2019,Georgia Tech,ACC,Coastal,-10.8003821863589,107
2019,Coastal Carolina,Sun Belt,,-11.0512081622924,108
2019,Florida International,Conference USA,East,-11.4584116326066,109
2019,North Texas,Conference USA,West,-11.7634565566406,110
2019,NC State,ACC,Atlantic,-11.9937798108604,111
2019,Vanderbilt,SEC,East,-12.6141496123544,112
2019,Nevada,Mountain West,West,-12.6267271141671,113
2019,Rice,Conference USA,West,-13.4960798986601,114
2019,Northern Illinois,Mid-American,West,-14.5149803158615,115
2019,East Carolina,American Athletic,East,-15.2304708951631,116
2019,Toledo,Mid-American,West,-16.1869212944438,117
2019,UNLV,Mountain West,West,-16.5197089510661,118
2019,Rutgers,Big Ten,East,-16.7145216707776,119
2019,South Alabama,Sun Belt,,-17.2125553365351,120
2019,New Mexico,Mountain West,Mountain,-17.6413769450037,121
2019,Texas State,Sun Belt,,-18.7530922452737,122
2019,Old Dominion,Conference USA,East,-19.7657550858911,123
2019,New Mexico State,FBS Independents,,-20.0381455955055,124
2019,UT San Antonio,Conference USA,West,-21.0980956234575,125
2019,Connecticut,American Athletic,East,-23.1682868790464,126
2019,UTEP,Conference USA,West,-28.1309497388774,127
2019,Bowling Green,Mid-American,East,-28.5345804539312,128
2019,Akron,Mid-American,East,-34.7107087873593,129
2019,UMass,FBS Independents,,-40.5692293802525,130