year,school,talent
2019,Alabama,984.96
2019,Ohio State,973.56
2019,Georgia,960.16
2019,USC,915.56
2019,LSU,906.17
2019,Florida State,878.07
2019,Texas,877.91
2019,Oklahoma,869.53
2019,Clemson,863.03
2019,Penn State,857.34
2019,Michigan,853.40
2019,Texas A&M,848.89
2019,Auburn,843.93
2019,Notre Dame,843.29
2019,Florida,835.68
2019,Tennessee,830.34
2019,Oregon,817.70
2019,Miami,815.12
2019,Washington,801.33
2019,Stanford,787.59
2019,South Carolina,762.68
2019,UCLA,741.40
2019,Mississippi State,732.68
2019,Nebraska,729.47
2019,Ole Miss,717.92
2019,Arkansas,707.72
2019,Maryland,703.94
2019,North Carolina,697.75
2019,Virginia Tech,696.39
2019,TCU,691.63
2019,Michigan State,688.74
2019,Arizona State,686.44
2019,Wisconsin,675.80
2019,Kentucky,672.74
2019,Baylor,668.90
2019,NC State,668.85
2019,Illinois,661.73
2019,Louisville,645.84
2019,Oklahoma State,644.42
2019,Missouri,642.83
2019,West Virginia,639.11
2019,Pittsburgh,637.95
2019,Iowa,637.65
2019,Duke,633.24
2019,Georgia Tech,629.10
2019,Minnesota,621.36
2019,Utah,620.35
2019,Colorado,614.27
2019,Northwestern,612.62
2019,California,611.58
2019,Purdue,607.40
2019,Vanderbilt,605.06
2019,Indiana,603.81
2019,UCF,598.57
2019,Houston,597.62
2019,Iowa State,597.15
2019,Oregon State,595.50
2019,Rutgers,587.28
2019,Virginia,580.28
2019,Texas Tech,577.21
2019,Cincinnati,576.61
2019,Syracuse,574.82
2019,Arizona,570.07
2019,SMU,565.15
2019,Boston College,564.95
2019,Wake Forest,563.24
2019,Boise State,561.42
2019,BYU,560.78
2019,South Florida,559.66
2019,Washington State,556.27
2019,Memphis,551.97
2019,Kansas State,543.49
2019,Florida International,532.88
2019,Kansas,528.62
2019,Florida Atlantic,524.02
2019,Colorado State,518.83
2019,San Diego State,504.19
2019,Louisiana Tech,501.25
2019,Marshall,489.63
2019,Temple,489.03
2019,Tulane,486.98
2019,Western Kentucky,486.97
2019,Fresno State,482.79
2019,UT San Antonio,471.36
2019,East Carolina,468.23
2019,UNLV,462.72
2019,Nevada,461.96
2019,North Texas,457.24
2019,Southern Mississippi,456.29
2019,Western Michigan,452.05
2019,Toledo,451.43
2019,Middle Tennessee,450.79
2019,Arkansas State,447.87
2019,UAB,441.81
2019,San José State,433.33
2019,Tulsa,424.54
2019,Utah State,424.16
2019,Hawai'i,420.99
2019,Central Michigan,416.63
2019,Connecticut,412.55
2019,Appalachian State,412.32
2019,Georgia Southern,411.80
2019,Louisiana,406.49
2019,New Mexico,401.90
2019,Northern Illinois,397.98
2019,Wyoming,397.90
2019,Rice,397.04
2019,Troy,388.67
2019,Charlotte,386.38
2019,South Alabama,381.38
2019,Old Dominion,374.74
2019,Georgia State,369.05
2019,Miami (OH),359.14
2019,UMass,358.88
2019,UTEP,355.31
2019,Texas State,348.47
2019,Louisiana Monroe,346.03
2019,Ohio,337.17
2019,Navy,335.40
2019,Ball State,327.92
2019,Eastern Michigan,317.49
2019,Bowling Green,315.44
2019,Kent State,313.22
2019,Akron,312.81
2019,Coastal Carolina,305.73
2019,Buffalo,284.74
2019,New Mexico State,269.79
2019,Army,265.19
2019,Sam Houston State,184.58
2019,Southeastern Louisiana,178.38
2019,Nicholls,155.75
2019,Chattanooga,155.43
2019,Liberty,153.48
2019,Air Force,151.86
2019,Alabama State,136.54
2019,Towson,135.03
2019,Duquesne,129.11
2019,Montana State,120.95
2019,Illinois State,119.34
2019,James Madison,110.76
2019,Jacksonville State,108.58
2019,Hampton,104.67
2019,Samford,97.76
2019,Campbell,96.70
2019,Murray State,96.00
2019,Richmond,95.66
2019,UT Martin,93.72
2019,Tennessee State,92.64
2019,Stephen F. Austin,91.75
2019,Idaho,87.17
2019,Kennesaw State,86.45
2019,McNeese,86.21
2019,Eastern Kentucky,86.14
2019,Southeast Missouri State,83.35
2019,Delaware,77.11
2019,Western Illinois,70.98
2019,William & Mary,70.28
2019,Southern Illinois,69.80
2019,North Carolina A&T,69.44
2019,Florida A&M,69.36
2019,Youngstown State,67.72
2019,Northwestern State,67.50
2019,Grambling,67.45
2019,Stony Brook,66.41
2019,Montana,65.83
2019,East Tennessee State,61.69
2019,Bethune-Cookman,60.90
2019,Austin Peay,58.68
2019,Weber State,53.55
2019,Norfolk State,52.48
2019,Southern,52.19
2019,North Dakota State,50.79
2019,Incarnate Word,47.36
2019,Abilene Christian,46.84
2019,Missouri State,44.24
2019,Jackson State,44.19
2019,North Alabama,43.90
2019,North Carolina Central,43.62
2019,South Dakota,42.81
2019,Prairie View,42.01
2019,Lamar,41.39
2019,Tennessee Tech,41.07
2019,Albany,40.43
2019,Texas Southern,40.03
2019,Idaho State,39.63
2019,Central Arkansas,38.51
2019,Fordham,38.15
2019,Northern Iowa,37.29
2019,Southern Utah,35.09
2019,Northern Arizona,35.00
2019,South Carolina State,32.50
2019,Charleston Southern,32.36
2019,Portland State,30.88
2019,Maine,30.23
2019,Alcorn State,29.54
2019,Arkansas-Pine Bluff,29.07
2019,Cal Poly,28.91
2019,Princeton,27.29
2019,Robert Morris,26.82
2019,Houston Baptist,26.80
2019,Eastern Illinois,24.67
2019,Indiana State,24.51
2019,Furman,24.31
2019,Morgan State,23.32
2019,Elon,18.77
2019,Sacramento State,18.35
2019,Wagner,17.91
2019,Jacksonville,17.49
2019,South Dakota State,17.26
2019,Monmouth,15.76
2019,Rhode Island,15.55
2019,Delaware State,15.41
2019,Sacred Heart,15.08
2019,Eastern Washington,14.80
2019,Gardner-Webb,14.72
2019,Lehigh,13.90
2019,Alabama A&M,13.54
2019,Northern Colorado,13.41
2019,North Dakota,13.24
2019,St Francis (PA),13.03
2019,Mercer,12.14
2019,Butler,11.61
2019,Drake,11.10
2019,Brown,9.44
2019,Central Connecticut,8.93
2019,Western Carolina,8.58
2019,Wofford,7.83
2019,Holy Cross,7.31
2019,Georgetown,6.66
2019,Mississippi Valley State,6.66
2019,Bryant,6.30